T,0.013283782,0.006246093,-4926.7,13.7,1.5650,24.22,,
T,0.013549702,0.006297777,-4927.0,11.0,1.5949,29.96,,
T,0.013762458,0.006402789,-4927.1,26.3,1.6212,26.27,,
T,0.014028433,0.006454486,-4927.3,11.0,1.6512,29.97,,
T,0.014241230,0.006559519,-4927.4,26.3,1.6774,26.27,,
T,0.014400839,0.006664828,-4927.4,33.4,1.6986,21.19,,
T,0.014666884,0.006769611,-4927.6,21.5,1.7303,31.65,,
T,0.014826513,0.006981071,-4927.5,53.0,1.7597,29.42,,
T,0.014932940,0.007139742,-4927.4,56.1,1.7809,21.22,,
T,0.015145815,0.007297897,-4927.5,36.6,1.8103,29.39,,
T,0.015305476,0.007509392,-4927.5,53.0,1.8397,29.43,,
T,0.015465149,0.007720908,-4927.4,53.0,1.8692,29.43,,
T,0.015624835,0.007879360,-4927.4,44.8,1.8941,24.96,,
T,0.015837770,0.008037568,-4927.5,36.6,1.9235,29.40,,
T,0.015997483,0.008196045,-4927.5,44.8,1.9485,24.96,,
T,0.016157205,0.008354530,-4927.5,44.8,1.9735,24.96,,
T,0.016316939,0.008513027,-4927.6,44.8,1.9984,24.97,,
T,0.016529937,0.008671285,-4927.7,36.6,2.0278,29.41,,
T,0.016689694,0.008829805,-4927.7,44.8,2.0528,24.97,,
T,0.016902727,0.008988094,-4927.8,36.6,2.0822,29.42,,
T,0.017115776,0.009146394,-4927.9,36.6,2.1116,29.42,,
T,0.017222300,0.009358281,-4927.8,63.3,2.1380,26.36,,
T,0.017382108,0.009463751,-4927.9,33.4,2.1592,21.22,,
T,0.017541918,0.009675423,-4927.9,52.9,2.1887,29.45,,
T,0.017701745,0.009834007,-4927.9,44.8,2.2137,24.98,,
T,0.017861586,0.009939506,-4928.0,33.4,2.2349,21.22,,
T,0.018021427,0.010151213,-4928.0,52.9,2.2643,29.46,,
T,0.018234578,0.010309602,-4928.1,36.6,2.2938,29.43,,
T,0.018394450,0.010468234,-4928.1,44.8,2.3188,24.99,,
T,0.018607639,0.010573544,-4928.2,26.3,2.3451,26.33,,
T,0.018820851,0.010625755,-4928.4,13.8,2.3694,24.28,,
T,0.019034073,0.010784191,-4928.4,36.6,2.3988,29.44,,
T,0.019247319,0.010889530,-4928.6,26.3,2.4251,26.33,,
T,0.019460588,0.010994877,-4928.6,26.3,2.4515,26.34,,
T,0.019620551,0.011100448,-4928.6,33.4,2.4727,21.24,,
T,0.019833854,0.011205810,-4928.7,26.3,2.4991,26.34,,
T,0.019993846,0.011258278,-4928.8,18.2,2.5177,18.63,,
T,0.020260524,0.011363437,-4928.9,21.5,2.5494,31.73,,
T,0.020580581,0.011415267,-4929.0,9.2,2.5853,35.86,,
T,0.020900679,0.011467104,-4929.1,9.2,2.6211,35.86,,
T,0.021274183,0.011518736,-4929.3,7.9,2.6628,41.70,,
T,0.021594377,0.011570589,-4929.4,9.2,2.6987,35.87,,
T,0.021914618,0.011569305,-4929.5,359.8,2.7341,35.41,,
T,0.022234910,0.011621160,-4929.5,9.2,2.7700,35.88,,
