T,0.002212029,0.008962196,-4921.7,179.2,3.7992,25.37,,
T,0.002074407,0.008964087,-4921.9,179.2,3.8144,15.22,,
T,0.001845099,0.009013374,-4922.4,167.9,3.8403,25.94,,
T,0.001661709,0.009062020,-4922.8,165.1,3.8613,20.99,,
T,0.001478366,0.009064525,-4923.1,179.2,3.8816,20.27,,
T,0.001340893,0.009112525,-4923.4,160.8,3.8977,16.11,,
T,0.001111830,0.009161762,-4923.9,167.9,3.9236,25.91,,
T,0.000882844,0.009210983,-4924.4,167.9,3.9495,25.91,,
T,0.000653934,0.009214089,-4924.7,179.2,3.9748,25.31,,
T,0.000470864,0.009308754,-4925.2,152.7,3.9977,22.82,,
T,0.000150605,0.009313084,-4925.7,179.2,4.0331,35.42,,
T,-0.000078061,0.009362239,-4926.1,167.9,4.0589,25.87,,
T,-0.000215221,0.009456222,-4926.5,145.6,4.0774,18.42,,
T,-0.000306642,0.009641705,-4927.0,116.2,4.1004,22.99,,
T,-0.000398055,0.009827158,-4927.5,116.2,4.1233,22.99,,
T,-0.000489450,0.010104705,-4928.1,108.2,4.1558,32.51,,
T,-0.000489441,0.010381051,-4928.6,90.0,4.1866,30.76,,
T,-0.000580826,0.010520382,-4929.0,123.3,4.2051,18.51,,
T,-0.000626508,0.010751227,-4929.5,101.2,4.2313,26.19,,
T,-0.000672194,0.010889946,-4929.8,108.2,4.2476,16.25,,
T,-0.000809232,0.011167915,-4931.0,116.2,4.2820,34.45,,
T,-0.000900575,0.011307156,-4931.7,123.3,4.3005,18.50,,
T,-0.001037570,0.011538993,-4932.9,120.6,4.3304,29.93,,
T,-0.001037568,0.011723144,-4933.7,90.0,4.3509,20.50,,
T,-0.001037563,0.011999371,-4935.0,90.0,4.3817,30.75,,
T,-0.000946230,0.012228517,-4936.0,68.3,4.4091,27.43,,
T,-0.000900561,0.012366125,-4936.7,71.6,4.4253,16.13,,
T,-0.000900554,0.012642378,-4938.0,90.0,4.4560,30.75,,
T,-0.000763530,0.012825046,-4938.9,53.1,4.4814,25.36,,
T,-0.000626469,0.012961709,-4939.6,44.9,4.5028,21.47,,
T,-0.000535084,0.013144935,-4940.5,63.5,4.5256,22.76,,
T,-0.000397986,0.013327700,-4941.5,53.1,4.5510,25.37,,
T,-0.000260861,0.013372312,-4941.8,18.0,4.5669,15.96,,
T,-0.000032259,0.013508114,-4942.7,30.7,4.5964,29.45,,
T,0.000104944,0.013690987,-4943.7,53.1,4.6218,25.39,,
T,0.000196427,0.013874361,-4945.1,63.5,4.6446,22.78,,
T,0.000333675,0.014057301,-4946.7,53.1,4.6699,25.40,,
T,0.000379431,0.014241182,-4948.2,76.0,4.6910,21.09,,
T,0.000425192,0.014425074,-4949.9,76.0,4.7121,21.09,,
T,0.000562485,0.014608099,-4951.5,53.1,4.7375,25.41,,
T,0.000699800,0.014791154,-4953.2,53.1,4.7629,25.41,,
T,0.000837149,0.014974252,-4954.9,53.1,4.7884,25.42,,
T,0.000928728,0.015157809,-4956.6,63.5,4.8112,22.80,,
T,0.000974525,0.015295700,-4957.9,71.6,4.8273,16.16,,
T,0.000974527,0.015526225,-4959.9,90.0,4.8530,25.66,,
T,0.001020327,0.015802451,-4962.4,80.6,4.8842,31.16,,
T,0.001111933,0.016078305,-4965.0,71.6,4.9165,32.34,,
T,0.001111936,0.016308850,-4967.1,90.0,4.9422,25.66,,
