day,month,year,hour,minute,second,curLat,curLon,wpLat,wpLon,heading
18,4,2015,9,17,6,59.130466,10.273541,59.131104,10.268907,285.112518
18,4,2015,9,17,7,59.130493,10.273490,59.131104,10.268907,284.652252
18,4,2015,9,17,8,59.130524,10.273430,59.131104,10.268907,284.046631
18,4,2015,9,17,9,59.130558,10.273374,59.131104,10.268907,283.411560
18,4,2015,9,17,10,59.130581,10.273315,59.131104,10.268907,283.090240
18,4,2015,9,17,11,59.130615,10.273260,59.131104,10.268907,282.418457
18,4,2015,9,17,12,59.130646,10.273203,59.131104,10.268907,281.730194
18,4,2015,9,17,13,59.130688,10.273153,59.131104,10.268907,280.827148
18,4,2015,9,17,14,59.130718,10.273104,59.131104,10.268907,280.249512
18,4,2015,9,17,15,59.130753,10.273057,59.131104,10.268907,279.471283
18,4,2015,9,17,16,59.130795,10.273010,59.131104,10.268907,278.489868
18,4,2015,9,17,17,59.130825,10.272964,59.131104,10.268907,277.663666
18,4,2015,9,17,18,59.130867,10.272917,59.131104,10.268907,276.628998
18,4,2015,9,17,19,59.130905,10.272872,59.131104,10.268907,275.562897
18,4,2015,9,17,20,59.130939,10.272827,59.131104,10.268907,274.660553
18,4,2015,9,17,21,59.130981,10.272785,59.131104,10.268907,273.536835
18,4,2015,9,17,22,59.131012,10.272738,59.131104,10.268907,272.786255
18,4,2015,9,17,23,59.131046,10.272683,59.131104,10.268907,271.818848
18,4,2015,9,17,24,59.131077,10.272634,59.131104,10.268907,270.820190
18,4,2015,9,17,25,59.131111,10.272582,59.131104,10.268907,269.794067
18,4,2015,9,17,26,59.131134,10.272525,59.131104,10.268907,269.158417
18,4,2015,9,17,27,59.131161,10.272457,59.131104,10.268907,268.283203
18,4,2015,9,17,28,59.131176,10.272380,59.131104,10.268907,267.806488
18,4,2015,9,17,29,59.131191,10.272297,59.131104,10.268907,267.303772
18,4,2015,9,17,30,59.131199,10.272208,59.131104,10.268907,266.770508
18,4,2015,9,17,31,59.131218,10.272117,59.131104,10.268907,266.205353
18,4,2015,9,17,32,59.131233,10.272028,59.131104,10.268907,265.368652
18,4,2015,9,17,33,59.131256,10.271945,59.131104,10.268907,264.495911
18,4,2015,9,17,34,59.131283,10.271872,59.131104,10.268907,263.343323
18,4,2015,9,17,35,59.131306,10.271803,59.131104,10.268907,262.408112
18,4,2015,9,17,36,59.131340,10.271737,59.131104,10.268907,260.915344
18,4,2015,9,17,37,59.131371,10.271668,59.131104,10.268907,259.355225
18,4,2015,9,17,38,59.131405,10.271604,59.131104,10.268907,257.748108
18,4,2015,9,17,39,59.131435,10.271532,59.131104,10.268907,256.321747
18,4,2015,9,17,40,59.131470,10.271465,59.131104,10.268907,254.585419
18,4,2015,9,17,41,59.131500,10.271397,59.131104,10.268907,252.770538
18,4,2015,9,17,42,59.131535,10.271328,59.131104,10.268907,250.896255
18,4,2015,9,17,43,59.131565,10.271260,59.131104,10.268907,249.248230
18,4,2015,9,17,44,59.131599,10.271195,59.131104,10.268907,247.279816
18,4,2015,9,17,45,59.131622,10.271125,59.131104,10.268907,245.481903
18,4,2015,9,17,46,59.131664,10.271057,59.131104,10.268907,243.089844
18,4,2015,9,17,47,59.131687,10.270990,59.131104,10.268907,241.491074
18,4,2015,9,17,48,59.131721,10.270924,59.131104,10.268907,239.285400
18,4,2015,9,17,49,59.131752,10.270859,59.131104,10.268907,237.058472
