curLat,curLon,wpLat,wpLon,heading
0.0312567,0.0500467,0.0195183,0.04948,182.764
0.03051,0.04985,0.0195183,0.04948,181.928
0.0297633,0.049655,0.0195183,0.04948,180.979
0.0290167,0.04946,0.0195183,0.04948,179.879
0.0282733,0.0490767,0.0195183,0.04948,177.362
0.0275267,0.0488817,0.0195183,0.04948,175.727
0.0265933,0.0486833,0.0195183,0.04948,173.575
0.0258467,0.0484883,0.0195183,0.04948,171.094
0.0251,0.0482917,0.0195183,0.04948,167.981
0.024355,0.048095,0.0195183,0.04948,164.021
0.0236083,0.0479017,0.0196217,0.0592017,109.433
0.0226733,0.04789,0.0196217,0.0592017,105.098
0.0219233,0.0478817,0.0196217,0.0592017,101.493
0.0211717,0.0482483,0.0196217,0.0592017,98.0544
0.0207883,0.0489933,0.0196217,0.0592017,96.5198
0.0204067,0.0497367,0.0196217,0.0592017,94.7411
0.0202117,0.0504833,0.0196217,0.0592017,93.8715
0.0202033,0.0512317,0.0196217,0.0592017,94.1742
0.0200083,0.05198,0.0196217,0.0592017,93.0648
0.02,0.0527283,0.0196217,0.0592017,93.3448
0.0196167,0.0534733,0.0196217,0.0592017,89.95
0.0190467,0.0542133,0.0196217,0.0592017,83.4246
0.0190383,0.054965,0.0196217,0.0592017,82.1604
0.0186567,0.0557083,0.0196217,0.0592017,74.5577
0.01846,0.0566433,0.0196217,0.0592017,65.5786
0.0184483,0.0575783,0.0196217,0.0592017,54.1409
0.0184383,0.058515,0.01984,0.0715617,83.868
0.0186167,0.059265,0.01984,0.0715617,84.3186
0.0186083,0.0600133,0.01984,0.0715617,83.9122
0.0187867,0.0609517,0.01984,0.0715617,84.3304
0.01915,0.061705,0.01984,0.0715617,85.9956
0.01933,0.062455,0.01984,0.0715617,86.7946
0.01951,0.0632067,0.01984,0.0715617,87.7381
0.0196883,0.0639567,0.01984,0.0715617,88.8575
0.0196767,0.0648933,0.01984,0.0715617,88.5969
0.01967,0.0656417,0.01984,0.0715617,88.3551
0.01985,0.066205,0.01984,0.0715617,90.107
0.0198383,0.0673283,0.01984,0.0715617,89.9774
0.01983,0.0680767,0.01984,0.0715617,89.8356
0.0198167,0.0692,0.0193817,0.082125,91.9276
0.0196217,0.0699467,0.0193817,0.082125,91.129
0.0196117,0.0708817,0.0193817,0.082125,91.1719
0.0196033,0.07163,0.0193817,0.082125,91.21
0.0194067,0.0725633,0.0193817,0.082125,90.1498
0.0194,0.073125,0.0193817,0.082125,90.1167
0.01939,0.0740617,0.0193817,0.082125,90.0592
0.0191967,0.07462,0.0193817,0.082125,88.5879
0.0191883,0.07537,0.0193817,0.082125,88.3606
0.019175,0.0764917,0.0193817,0.082125,87.899
0.0189783,0.077425,0.0193817,0.082125,85.0951
